"species","redlistCategory","yearPublished","assessmentDate","habitat","threats","population","populationTrend"
"Rhinella ocellata","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs on the ground in the Cerrado near waterbodies, where it also breeds. It does not adapt well to anthropogenic disturbance.","Agriculture, crops and livestock, dam construction and fires are major threats to the species' habitat.","It is a locally abundant species.","Decreasing"
"Rhinella rubescens","Least Concern",2010,"2008-11-04 00:00:00 UTC","It occurs in open areas, and is associated with permanent streams and ponds, where the females lay their eggs. It appears to adapt well to anthropogenic disturbance, even occurring in urban areas.","Agriculture, fire and dam construction are major threats to the species' habitat.","It is a common species.","Stable"
"Rhinella scitula","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It inhabits dense gallery forest in the Cerrado savannah. Animals have been found close to streams and waterfalls, and this species breeds in small pools in slow-flowing streams. It might also occur in pastureland, although this requires verification.","The threats to this species are not known.","This is a seasonally abundant species.","Unknown"
"Allobates brunneus","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs at the margins of lakes and pools of stagnant water in tropical rainforest and in Bolivia it is found in seasonally flooded forest. Its breeding habits are unknown, but the larvae are likely to develop in water.","Habitat loss due to agricultural activities is a threat to this species.","It is common at one site in Bolivia. Its status elsewhere is unknown.","Unknown"
"Allobates goianus","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It is found in the leaf-litter of gallery forests, near streams or small ponds. It lays its eggs on land, and the larvae are then carried by the parents to streams where they develop further.","The major threats to this species’ habitat are agriculture (both cultivation of crops and rearing of livestock), as well as logging, mining, fire, agricultural pollution and dam construction.","The population status of this species is unknown.","Unknown"
"Ameerega braccata","Least Concern",2004,"2004-04-30 00:00:00 UTC","Individuals were found amidst leaf-litter in gallery forests in the Cerrado, which is also its breeding habitat. The eggs are laid on land and then the larvae are deposited in streams where they develop further. It probably does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as fire is threats to the species' habitat.","The population status of this species is not known.","Unknown"
"Ameerega flavopicta","Least Concern",2004,"2004-04-30 00:00:00 UTC","A diurnal species found in rock crevices at creek margins in rupestrian fields, within the vegetation on a forest waterfall and amidst leaf-litter. Eggs are laid on the litter and tadpoles are then carried by their parents to streams where they develop further. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging, mining, fires and dam construction are major threats to the species’ habitat. It is in the international pet trade, but not at a level to constitute a threat to the species.","It is a locally common species.","Stable"
"Ameerega picta","Least Concern",2008,"2008-01-01 00:00:00 UTC","It occurs among dead tree branches on the leaf-litter of tropical moist and dry forest. Eggs are laid on the leaf-litter; tadpoles are carried on the adult's back to temporary pools. Animals can occur in primary and secondary forest, at forest edges and in lightly degraded habitats.","No major threats, a widespread species with large areas of suitable habitat remaining. There is some localized habitat loss to different human activities such as agriculture (crops, livestock etc.). A. picta is not often encountered in the pet trade.","It is a very common species.","Stable"
"Bokermannohyla alvarengai","Least Concern",2010,"2008-11-05 00:00:00 UTC","It is a species of open, rocky high-altitude grassland that is often found on stones at the edge of brooks and streams. It breeds in permanent streams.","The main threats are habitat degradation due to human settlement, tourism and fire.","It is a very common species.","Stable"
"Dendropsophus anataliasiasi","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in low vegetation next to permanent bodies of water, where it also breeds. It most likely lays its eggs in the water. It adapts well to human disturbance and is often found in pastures.","Logging, fires and dam construction are major threats to the species' habitat.","It is a locally abundant species.","Stable"
"Dendropsophus araguaya","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs on low vegetation in and surrounding temporary and permanent ponds (in which it presumably breeds), in open areas.","The major threats to this species’ habitat are agricultural development (for both crops and livestock), as well as logging and dam construction.","The population status of this species is not known.","Unknown"
"Boana ericae","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs in gallery forests along streams, in which it breeds.","Logging, mining and fires are major threats to its habitat.","It is a common species.","Unknown"
"Boana lundii","Least Concern",2004,"2004-04-30 00:00:00 UTC","This species occurs on vegetation near streams in primary and secondary forest, and also in forest edge and forest clearings. It breeds in permanent streams. It has also been found in plantations.","There are no threats to this very common species.","This is a very common species.","Decreasing"
"Boana goiana","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in small streams in gallery forests, where they also breed. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging and the construction of dams are major threats to the species’ habitat.","It is a common species.","Decreasing"
"Boana buriti","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs on low vegetation in and surrounding temporary and permanent ponds (in which it presumably breeds), in open areas.","The major threats to its habitat are agricultural development (for both crops and livestock), as well as logging and the construction of dams.","The population status of this species is not known.","Unknown"
"Boana cipoensis","Near Threatened",2004,"2004-04-30 00:00:00 UTC","It occurs on vegetation near permanent and temporary streams (where it breeds) in forest and open areas.","The major threat to this species is habitat degradation due to smallholder livestock grazing, fire, and infrastructure development for human settlement.","It is common.","Decreasing"
"Dendropsophus cruzi","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs on vegetation near permanent and temporary waterbodies in open areas, where it also breeds. It adapts well to anthropogenic disturbance.","Logging and dam construction are threats to the species' habitat.","It is a common species.","Stable"
"Dendropsophus elianeae","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs on low vegetation in and surrounding temporary and permanent ponds, in open areas. It presumably breeds in ponds. It is not known whether or not it adapts well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging and dam construction are major threats to the species’ habitat.","It is a locally common species.","Unknown"
"Bokermannohyla nanuzae","Least Concern",2010,"2008-11-05 00:00:00 UTC","It occurs on vegetation near streams in gallery forest, and presumably breeds in streams. It does not adapt well to anthropogenic disturbance.","Mining, fires, and infrastructure development for human settlement are major threats to the species' habitat. The disturbance of the habitat by tourists is also a problem.","It is a common species.","Stable"
"Bokermannohyla ibitiguara","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs in rocky habitats in savannah, on stones or trees near small waterfalls of permanent streams. There is no information regarding its breeding habits, but it is likely to breed by larval development in steams.","Potential threats to this species include habitat degradation due to agricultural development and infrastructure development for human settlement and tourism, and also fires.","There is no information regarding its population status.","Unknown"
"Dendropsophus jimi","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs on the upper parts of low vegetation, and inhabits springs, streams, and marshes, where it also breeds. It also adapts well to anthropogenic disturbance.","Logging and dam construction are major threats to the species' habitat.","It is a common species.","Stable"
"Dendropsophus tritaeniatus","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in the Pantanal, Cerrado, and flooded savannahs. It breeds on low vegetation near waterbodies such as rivers or in marshy grounds. It is not well adapted to anthropogenic disturbance.","Habitat destruction and degradation caused primarily by agriculture is a major threat.","It is a common species.","Stable"
"Bokermannohyla pseudopseudis","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in rock crevices in permanent or temporary streams. Spawning occurs in both these sites. Tadpoles were found attached to stones on the bottom of pools within deep sections of permanent streams with small waterfalls and quartzitic rocks. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging and dam construction are major threats to the species’ habitat.","It is an uncommon species.","Decreasing"
"Dendropsophus rhea","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It is found on the top of blades of grass in savannahs, and breeds in temporary and permanent ponds.","The main threats to this species are thought to be fire and agricultural pollution.","This is a very common species where it is known to occur.","Unknown"
"Dendropsophus rubicundulus","Least Concern",2004,"2004-04-30 00:00:00 UTC","It inhabits the Cerrado and occurs on the emergent or marginal herbaceous vegetation near ponds, pools, or lagoons in open areas. It breeds in permanent and temporary ponds, near grassland vegetation. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging, fires, and the construction of dams are major threats to the species’ habitat.","It is very common in Brazil, but is uncommon in Bolivia and Paraguay.","Decreasing"
"Bokermannohyla saxicola","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs on stones and rocks near permanent and temporary streams with running water in the Cerrado. The egg clutches are attached to the substrate and are well sheltered in rock crevices or under stones. Tadpoles are found only in permanent streams where males also call. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as fire, and the disturbance of the habitat by tourists is a major threat.","It is a common species.","Decreasing"
"Bokermannohyla sazimai","Data Deficient",2004,"2004-04-30 00:00:00 UTC","This species inhabits gallery forests and occurs on low vegetation in the margins of streams. It does not adapt well to anthropogenic disturbance. The larvae are found in small ponds at the edges of the streams.","The major threats to its habitat are agricultural development (for both crops and livestock), as well as logging, fires and the construction of dams.","The population status of this species is unknown.","Unknown"
"Boana stenocephala","Data Deficient",2004,"2004-04-30 00:00:00 UTC","The specimens were collected in savannah. This species is believed to be a stream breeder.","Mining and infrastructure development are major threats to the habitat in the region of the type locality, although there is no information known regarding specific threats to this species.","It has not been collected again since it was first described, and its current population status is not known.","Unknown"
"Lysapsus caraya","Least Concern",2004,"2004-04-30 00:00:00 UTC","It is an aquatic species of open flooded savannah areas, and floating meadows of large rivers. It breeds in the associated waterways.","No threats are known.","It is common where it occurs.","Stable"
"Phasmahyla jandaia","Least Concern",2010,"2008-11-05 00:00:00 UTC","This species occurs in streams in gallery forests and open areas. The eggs are deposited on leaves above the water, and fall into the permanent stream below when hatched. It has not been recorded from anthropogenic habitats.","Habitat loss due to infrastructure development for human settlement, and disturbance of the habitat from touristic activities and fire are threats to the species.","It is a very common species.","Stable"
"Pseudis tocantins","Least Concern",2004,"2004-04-30 00:00:00 UTC","It is an aquatic species, and is found in permanent ponds, lakes and swamps, where it also breeds. Its ability to adapt to modified habitats is not known.","Expanding agriculture is impacting its populations, overgrazing by domestic livestock, infrastructure development (for expanding human settlements, and dams), and water pollution from agriculture.","It is a common species.","Unknown"
"Scinax maracaya","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It inhabits the Cerrado savannah, and occurs on the ground or on low vegetation near ponds or small lakes, where it also breeds.","The major threats to this species' habitat are agricultural development (for both crops and livestock) and fires.","The population status of this very poorly known species is not known.","Unknown"
"Crossodactylus trachystomus","Data Deficient",2010,"2008-11-04 00:00:00 UTC","It lives on the ground near streams inside forest, and breeds in the streams.","There has been a huge urban expansion within this species' known range, with much forest being lost, and streams becoming polluted.","Two of the three known populations disappeared in the mid 1980s, the surviving population is from Serra do Caraça, with records dating from 2001-2002.","Decreasing"
"Barycholos ternetzi","Least Concern",2004,"2004-04-30 00:00:00 UTC","It lives in the leaf-litter of gallery forests and open areas in the Cerrado. It breeds in the leaf-litter and breeds by direct development. It does not adapt well to anthropogenic disturbance.","Agriculture, both crops and livestock, as well as logging, agricultural pollution, fires and dam construction are major threats to the species’ habitat.","It is a common species.","Decreasing"
"Pristimantis dundeei","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs on vegetation in gallery forests in the Cerrado savannah, and breeds by direct development, although there is no information known about the egg deposition site. It probably does not adapt well to anthropogenic disturbance.","Agricultural development, involving both crops and livestock, as well as logging and fires, are major threats to this species’ habitat. Disturbance of the habitat by tourists is also a problem.","It is a reasonably common species.","Unknown"
"Oreobates heterodactylus","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It is an inhabitant of the Pantanal wetlands, and it is presumed to breed by direct development, like other species of the genus.","It is likely to be threatened by habitat changes as a result of livestock farming.","The population status of this species is not known.","Unknown"
"Hylodes otavioi","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs at permanent stream margins in riparian forests in primary and secondary gallery forests. Larvae were found in the same streams.","Habitat degradation due to tourism and fire are the major threats to this species.","It is not a very common species.","Unknown"
"Leptodactylus pustulatus","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in Cerrado savannah on the ground near permanent waterbodies, where it also breeds. It vocalizes in open areas. It adapts well to anthropogenic disturbance (even occurring in urban areas).","There are no major threats to this species.","It is a common species.","Stable"
"Leptodactylus camaquara","Data Deficient",2004,"2004-04-30 00:00:00 UTC","This inhabitant of the Cerrado savannah lays its eggs in subterranean foam nests (sometimes under stones), and the larvae are then carried to water such as puddles, swamps or temporary ponds.","Logging and fires are threats to this species. Disturbance of its habitat by tourists is also a major threat.","It is an uncommon species.","Unknown"
"Odontophrynus cultripes","Least Concern",2010,"2008-11-04 00:00:00 UTC","A fossorial species that can be found in open areas and forest edges. It reproduces explosively in temporary pools (including artificial pools).","Severe habitat loss due to infrastructure development and agricultural activities (cattle ranching) can impact this species, and its habitat is fragmented.","It is an abundant and stable species. It occurs in suburban gardens.","Stable"
"Leptodactylus cunicularius","Least Concern",2004,"2004-04-30 00:00:00 UTC","It is an inhabitant of the Cerrado. Eggs are laid in subterranean foam nests (sometimes under stones), and the tadpoles are carried by water to puddles and streams. It is not known whether or not it adapts well to anthropogenic disturbance.","Fire and disturbance of the habitat by tourists is a major threat.","It is a common species.","Stable"
"Proceratophrys moratoi","Critically Endangered",2004,"2004-04-30 00:00:00 UTC","This species occurs on the ground near waterbodies in open areas near forest edge; it is not known from anthropogenically disturbed habitats. It breeds in temporary and permanent pools.","The type locality for this species has been destroyed by infrastructure development and agriculture.","It is only known from a few specimens, and was last collected in 1990. A drastic population decline is suspected to have taken place; subsequent searches have not been successful in finding this species, either at the type locality, or elsewhere, and it might now be extinct.","Decreasing"
"Proceratophrys salvatori","Data Deficient",2004,"2004-04-30 00:00:00 UTC","An inhabitant of the Cerrado savannah, it occurs on the ground near waterbodies, but does not adapt well to anthropogenic disturbance. The larvae are found in small temporary streams.","The major threats to its habitat are agricultural development (for both the cultivation of crops and the rearing of livestock) and fires.","This is a common species.","Decreasing"
"Leptodactylus furnarius","Least Concern",2004,"2004-04-30 00:00:00 UTC","It occurs in open areas, on the ground, near waterbodies. It lays its eggs under the ground, and the tadpoles are carried by water to ponds. It adapts well to anthropogenic disturbance (has been collected in Eucalyptus plantations).","Agriculture, extraction (mining), fire and infrastructure development (dams) are all threats.","It is a common species.","Stable"
"Leptodactylus tapiti","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It occurs in open habitat in grasslands near waterbodies. The larvae are found in streams running down the hillsides.","Threats to this species are unknown.","The current population status is not known.","Unknown"
"Physalaemus nattereri","Least Concern",2004,"2004-04-30 00:00:00 UTC","It is a typical fossorial and seasonal frog, well adapted to a semi-arid continental climate. It inhabits savannah and grassland habitats in the Cerrado biome, and occurs on the ground near standing and temporary waterbodies, such as ponds and swamps, where it also breeds. It does not adapt well to anthropogenic disturbance.","The spread of intensive agriculture in the Cerrado biome is presumably affecting local populations of this species.","It is a common species.","Decreasing"
"Physalaemus centralis","Least Concern",2004,"2004-04-30 00:00:00 UTC","It lives on the ground near permanent and temporary bodies of water in the savannah habitats of the Cerrado and Pantanal. It breeds in permanent and temporary pools. It does not adapt well to anthropogenic disturbance.","The spread of intensive agriculture in the Cerrado biome is presumably affecting local populations of this species.","It is not an uncommon species.","Unknown"
"Physalaemus deimaticus","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It lives on the ground in rocky fields, and probably does not adapt well to anthropogenic disturbance. It presumably breeds in water, although this has not been confirmed.","This species is possibly affected by fire, expanding human settlements, and disturbance resulting from tourism.","The population status of this species is unknown.","Unknown"
"Physalaemus evangelistai","Data Deficient",2010,"2008-11-06 00:00:00 UTC","It is a species that is found in shrubland and grassland, which breeds in temporary puddles or swamps where it makes floating foam nests. It probably does not adapt well to anthropogenic disturbance.","It is possibly affected by fire, expanding human settlements, and disturbance resulting from tourism.","The population status of this species is unknown.","Unknown"
"Physalaemus marmoratus","Least Concern",2008,"2008-01-01 00:00:00 UTC","Physalaemus marmoratus breeds in temporary shallow ponds of open habitats. Males call floating on the water with the large vocal sac inflated. During the axillary amplexus a foam nest is constructed on the water surface where the unpigmented eggs are deposited (Nascimento et al., 2006).<br/><br/>It does not adapt well to anthropogenic disturbance.","There are no major threats, although agricultural activities could be a threat in eastern Paraguay, and probably also in parts of Brazil.","This is an uncommon species.","Unknown"
"Proceratophrys cururu","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It is a species of Cerrado savannah that reproduces in temporary or permanent streams.","It might be affected by fire, and by disturbance resulting from tourism.","It is not common.","Unknown"
"Proceratophrys goyana","Least Concern",2004,"2004-04-30 00:00:00 UTC","It lives in open habitats in Cerrado savannah. There is no information on whether or not it adapts well to anthropogenic disturbance. It breeds in streams.","It populations are believed to be impacted by expanding agriculture, overgrazing by domestic livestock, wood extraction, and fire.","It is a common species.","Unknown"
"Pseudopaludicola mineira","Data Deficient",2004,"2004-04-30 00:00:00 UTC","It lives in open, grassy areas around temporary ponds, in which it presumably breeds. It adapts to some anthropogenic disturbance.","It might be affected by fire, expanding human settlements, and disturbance resulting from tourism.","The population status of this species is unknown.","Unknown"
"Pseudopaludicola ternetzi","Least Concern",2004,"2004-04-30 00:00:00 UTC","It lives in Cerrado savannah, occurring in open areas, and breeding in somewhat wet, marshy areas, and temporary pools. It adapts well to anthropogenic disturbance.","Local populations are probably impacted by the spread of intensive, commercial agriculture, as well as by fire and dam construction.","It is a common species.","Stable"
