species,latitude,longitude,taxa,icmbio.cat
Lonchophylla dekeyseri,-10.6667,-46.8667,Mammals,EN
Lonchophylla dekeyseri,-15.45,-48.15,Mammals,EN
Lonchophylla dekeyseri,-15.55,-47.75,Mammals,EN
Lonchophylla dekeyseri,-15.65,-57.2,Mammals,EN
Lonchophylla dekeyseri,-11.2333,-46.85,Mammals,EN
Lonchophylla dekeyseri,-3.9333,-41.7333,Mammals,EN
Lonchophylla dekeyseri,-17.5333,-54.4333,Mammals,EN
Lonchophylla dekeyseri,-15.5833,-48.0167,Mammals,EN
Lonchophylla dekeyseri,-15.8759,-47.8757,Mammals,EN
Lonchophylla dekeyseri,-14.5071,-46.731,Mammals,EN
Lonchophylla dekeyseri,-14.4302,-46.4604,Mammals,EN
Lonchophylla dekeyseri,-18.3476,-52.7657,Mammals,EN
Lycalopex vetulus,-13.95,-52.45,Mammals,VU
Lycalopex vetulus,-22.8,-49.2333,Mammals,VU
Lycalopex vetulus,-16.3167,-48.95,Mammals,VU
Lycalopex vetulus,-23.583,-48.383,Mammals,VU
Lycalopex vetulus,-15.8759,-47.8757,Mammals,VU
Lycalopex vetulus,-15.75,-48.0667,Mammals,VU
Lycalopex vetulus,-17.7167,-48.6667,Mammals,VU
Lycalopex vetulus,-14.55,-52.7667,Mammals,VU
Lycalopex vetulus,-14.2833,-52.9333,Mammals,VU
Lycalopex vetulus,-17.9333,-47.6667,Mammals,VU
Lycalopex vetulus,-13.65,-47.8,Mammals,VU
Lycalopex vetulus,-13.95,-45.5833,Mammals,VU
Lycalopex vetulus,-18.9833,-56.65,Mammals,VU
Lycalopex vetulus,-14.8667,-55.8,Mammals,VU
Lycalopex vetulus,-15.4333,-55.75,Mammals,VU
Lycalopex vetulus,-15.4167,-55.7833,Mammals,VU
Lycalopex vetulus,-20.54,-47.4,Mammals,VU
Lycalopex vetulus,-19.54,-44.38,Mammals,VU
Lycalopex vetulus,-14.2333,-45.7667,Mammals,VU
Lycalopex vetulus,-7.5167,-39.3167,Mammals,VU
Lycalopex vetulus,-20.7167,-56.8667,Mammals,VU
Lycalopex vetulus,-12.1667,-59.7167,Mammals,VU
Lycalopex vetulus,-19.6272,-43.8897,Mammals,VU
Lycalopex vetulus,-12.5333,-41.4,Mammals,VU
Lycalopex vetulus,-21.6167,-55.1667,Mammals,VU
Lycalopex vetulus,-10.6667,-46.8667,Mammals,VU
Lycalopex vetulus,-18.2667,-52.8833,Mammals,VU
Lycalopex vetulus,-14.5167,-52.3333,Mammals,VU
Lycalopex vetulus,-14.6833,-52.3333,Mammals,VU
Lycalopex vetulus,-14.5,-52.35,Mammals,VU
Lycalopex vetulus,-14.7667,-52.65,Mammals,VU
Lycalopex vetulus,-14.7,-52.35,Mammals,VU
Lycalopex vetulus,-12.6267,-47.8869,Mammals,VU
Lycalopex vetulus,-20.2065,-47.4384,Mammals,VU
Lycalopex vetulus,-17.35,-44.9333,Mammals,VU
Lycalopex vetulus,-15.5833,-47.5833,Mammals,VU
Lycalopex vetulus,-13.0667,-51.8333,Mammals,VU
Lycalopex vetulus,-21.1667,-47.8,Mammals,VU
Lycalopex vetulus,-11.2333,-46.85,Mammals,VU
Lycalopex vetulus,-21.6167,-47.6167,Mammals,VU
Lycalopex vetulus,-21.9667,-46.8,Mammals,VU
Lycalopex vetulus,-12.5336,-48.23,Mammals,VU
Lycalopex vetulus,-23.35,-47.85,Mammals,VU
Lycalopex vetulus,-22.545,-52.234,Mammals,VU
Lycalopex vetulus,-18.95,-48.2,Mammals,VU
Lycalopex vetulus,-15.8333,-46.5,Mammals,VU
Lycalopex vetulus,-17.4646,-48.2019,Mammals,VU
Lycalopex vetulus,-9.4833,-41.35,Mammals,VU
Lycalopex vetulus,-13.252,-45.769,Mammals,VU
Lycalopex vetulus,-15.45,-47.6167,Mammals,VU
Lycalopex vetulus,-18.266,-48.149,Mammals,VU
Lycalopex vetulus,-16.6833,-49.25,Mammals,VU
Lycalopex vetulus,-15.85,-48.949,Mammals,VU
Lycalopex vetulus,-7.534,-46.037,Mammals,VU
Lycalopex vetulus,-7.217,-44.567,Mammals,VU
Lycalopex vetulus,-7.34,-47.439,Mammals,VU
Lycalopex vetulus,-7.083,-45.15,Mammals,VU
Lycalopex vetulus,-18.6333,-48.1833,Mammals,VU
Lycalopex vetulus,-15.958,-46.367,Mammals,VU
Lycalopex vetulus,-18.32,-47.136,Mammals,VU
Lycalopex vetulus,-17.9935,-43.6101,Mammals,VU
Lycalopex vetulus,-18.15,-43.3833,Mammals,VU
Lycalopex vetulus,-15.2667,-45.8667,Mammals,VU
Lycalopex vetulus,-19.37,-43.62,Mammals,VU
Lycalopex vetulus,-22.2539,-45.9206,Mammals,VU
Lycalopex vetulus,-20.245,-46.365,Mammals,VU
Lycalopex vetulus,-20.448,-54.616,Mammals,VU
Lycalopex vetulus,-18.4667,-57.3667,Mammals,VU
Lycalopex vetulus,-19.5,-56.2167,Mammals,VU
Lycalopex vetulus,-15.0735,-57.1815,Mammals,VU
Lycalopex vetulus,-15.6,-56.1,Mammals,VU
Lycalopex vetulus,-12.9995,-60,Mammals,VU
Lycalopex vetulus,-20.2833,-56.0667,Mammals,VU
Lycalopex vetulus,-4.249,-42.299,Mammals,VU
Lycalopex vetulus,-8.7333,-45.0833,Mammals,VU
Lycalopex vetulus,-9.2056,-43.4886,Mammals,VU
Lycalopex vetulus,-7.122,-42.346,Mammals,VU
Lycalopex vetulus,-8.6974,-42.6105,Mammals,VU
Lycalopex vetulus,-4.2333,-42.2833,Mammals,VU
Lycalopex vetulus,-21.7944,-48.1756,Mammals,VU
Lycalopex vetulus,-22.2334,-49.0852,Mammals,VU
Lycalopex vetulus,-22.72,-47.6397,Mammals,VU
Lycalopex vetulus,-22.2945,-46.9278,Mammals,VU
Lycalopex vetulus,-21.2256,-47.8503,Mammals,VU
Lycalopex vetulus,-22.1,-48.05,Mammals,VU
Lycalopex vetulus,-22.9626,-47.0153,Mammals,VU
Lycalopex vetulus,-22.2463,-47.9167,Mammals,VU
Lycalopex vetulus,-21.5833,-47.8,Mammals,VU
Lycalopex vetulus,-21.85,-47.4667,Mammals,VU
Lycalopex vetulus,-21.765,-52.1,Mammals,VU
Lycalopex vetulus,-22.564,-53.035,Mammals,VU
Lycalopex vetulus,-22.019,-47.894,Mammals,VU
Lycalopex vetulus,-20.793,-49.35,Mammals,VU
Lycalopex vetulus,-21.473,-47.471,Mammals,VU
Lycalopex vetulus,-11.325,-48.946,Mammals,VU
Lycalopex vetulus,-10.1167,-48.6167,Mammals,VU
Lycalopex vetulus,-9.8667,-48.1167,Mammals,VU
Lycalopex vetulus,-10.693,-47.817,Mammals,VU
Microakodontomys transitorius,-15.6667,-48,Mammals,EN
Microakodontomys transitorius,-16.0167,-47.95,Mammals,EN
Oligoryzomys rupestris,-14,-47.5667,Mammals,EN
Oligoryzomys rupestris,-12.9835,-41.1082,Mammals,EN
Oligoryzomys rupestris,-13.55,-41.9333,Mammals,EN
Oligoryzomys rupestris,-19.2333,-43.55,Mammals,EN
Phyllomys brasiliensis,-19.5411,-43.9411,Mammals,EN
Phyllomys brasiliensis,-19.28,-43.95,Mammals,EN
Phyllomys brasiliensis,-18.7231,-45.0536,Mammals,EN
Phyllomys brasiliensis,-18.8603,-45.0267,Mammals,EN
Thalpomys cerradensis,-15.8667,-47.8833,Mammals,VU
Thalpomys cerradensis,-15.6667,-48,Mammals,VU
Thalpomys cerradensis,-8.85,-45.0167,Mammals,VU
Thalpomys cerradensis,-16.4,-52.45,Mammals,VU
Thalpomys cerradensis,-15.9333,-47.85,Mammals,VU
Thalpomys cerradensis,-13.1833,-58.9833,Mammals,VU
Thalpomys cerradensis,-12.9833,-58.95,Mammals,VU
Thalpomys cerradensis,-14.1833,-44.5333,Mammals,VU
Thalpomys cerradensis,-14.7167,-45.9167,Mammals,VU
Thalpomys cerradensis,-13.95,-45.9667,Mammals,VU
Thalpomys cerradensis,-15.2667,-45.8667,Mammals,VU
Thalpomys cerradensis,-10.6667,-46.8667,Mammals,VU
Thalpomys cerradensis,-12.5333,-60.3667,Mammals,VU
Thalpomys cerradensis,-15.7833,-47.9333,Mammals,VU
Thalpomys cerradensis,-13.45,-56.7167,Mammals,VU
Thalpomys cerradensis,-13.0333,-58.2833,Mammals,VU
Thalpomys cerradensis,-8.8333,-48.5,Mammals,VU
Thalpomys cerradensis,-12.8167,-51.7667,Mammals,VU
Thalpomys cerradensis,-15.6,-56.1,Mammals,VU
Thalpomys lasiotis,-15.8667,-47.8833,Mammals,EN
Thalpomys lasiotis,-15.6667,-48,Mammals,EN
Thalpomys lasiotis,-15.7833,-47.9333,Mammals,EN
Thalpomys lasiotis,-15.9333,-47.85,Mammals,EN
Thalpomys lasiotis,-14.7167,-45.9167,Mammals,EN
Thalpomys lasiotis,-15.5833,-47.5833,Mammals,EN
Thalpomys lasiotis,-20.35,-46.4833,Mammals,EN
Thalpomys lasiotis,-19.6272,-43.8897,Mammals,EN
Thalpomys lasiotis,-19.3715,-43.6649,Mammals,EN
Thalpomys lasiotis,-21.7833,-46.5667,Mammals,EN
Trinomys moojeni,-19.0167,-43.4167,Mammals,EN
Trinomys moojeni,-20.0833,-43.4833,Mammals,EN
Trinomys moojeni,-19.3715,-43.6649,Mammals,EN
