"species","latitude","longitude","taxa","icmbio.cat"
"Alectrurus tricolor",-17.5833,-61.7667,"Birds","VU"
"Ameiva parecis",-12.5353,-60.4267,"Reptiles","EN"
"Apostolepis striata",-12.6137,-60.0881,"Reptiles","EN"
"Asthenes luizae",-19.2833,-43.5667,"Birds","EN"
"Asthenes luizae",-18.1,-43.1333,"Birds","EN"
"Asthenes luizae",-19.2833,-43.6,"Birds","EN"
"Asthenes luizae",-19.3833,-43.5667,"Birds","EN"
"Asthenes luizae",-16.8333,-43.05,"Birds","EN"
"Asthenes luizae",-18.8,-43.8833,"Birds","EN"
"Asthenes luizae",-18.4,-43.35,"Birds","EN"
"Asthenes luizae",-18.2,-43.3,"Birds","EN"
"Asthenes luizae",-19.0833,-43.55,"Birds","EN"
"Asthenes luizae",-19.1695,-43.7144,"Birds","EN"
"Asthenes luizae",-18.3833,-43.95,"Birds","EN"
"Asthenes luizae",-19.2333,-43.55,"Birds","EN"
"Asthenes luizae",-18.4333,-43.4167,"Birds","EN"
"Asthenes luizae",-18.0667,-43.1333,"Birds","EN"
"Asthenes luizae",-17.0333,-43.3333,"Birds","EN"
"Asthenes luizae",-18.6055,-43.3794,"Birds","EN"
"Asthenes luizae",-19.3333,-43.5167,"Birds","EN"
"Asthenes luizae",-18.5,-43.4333,"Birds","EN"
"Asthenes luizae",-19.5677,-43.5372,"Birds","EN"
"Asthenes luizae",-19.5416,-43.5439,"Birds","EN"
"Asthenes luizae",-19.5401,-43.5446,"Birds","EN"
"Asthenes luizae",-19.54,-43.5766,"Birds","EN"
"Asthenes luizae",-19.5392,-43.5807,"Birds","EN"
"Asthenes luizae",-19.5031,-43.5542,"Birds","EN"
"Asthenes luizae",-19.5012,-43.5553,"Birds","EN"
"Asthenes luizae",-19.4976,-43.5585,"Birds","EN"
"Asthenes luizae",-19.4932,-43.5539,"Birds","EN"
"Asthenes luizae",-19.4926,-43.5648,"Birds","EN"
"Asthenes luizae",-19.4895,-43.5577,"Birds","EN"
"Asthenes luizae",-19.4837,-43.5539,"Birds","EN"
"Asthenes luizae",-19.4821,-43.5534,"Birds","EN"
"Asthenes luizae",-19.4816,-43.5666,"Birds","EN"
"Asthenes luizae",-19.4765,-43.5588,"Birds","EN"
"Asthenes luizae",-19.466,-43.56,"Birds","EN"
"Asthenes luizae",-19.4983,-43.5839,"Birds","EN"
"Asthenes luizae",-19.4965,-43.5899,"Birds","EN"
"Asthenes luizae",-19.4962,-43.5838,"Birds","EN"
"Asthenes luizae",-19.4946,-43.592,"Birds","EN"
"Asthenes luizae",-19.4917,-43.5824,"Birds","EN"
"Asthenes luizae",-19.4913,-43.5807,"Birds","EN"
"Asthenes luizae",-19.4815,-43.5764,"Birds","EN"
"Asthenes luizae",-19.4821,-43.5261,"Birds","EN"
"Asthenes luizae",-19.4136,-43.5279,"Birds","EN"
"Asthenes luizae",-19.4126,-43.5296,"Birds","EN"
"Asthenes luizae",-19.3945,-43.5505,"Birds","EN"
"Asthenes luizae",-19.406,-43.4859,"Birds","EN"
"Asthenes luizae",-19.394,-43.488,"Birds","EN"
"Asthenes luizae",-19.3606,-43.4917,"Birds","EN"
"Asthenes luizae",-19.3593,-43.4855,"Birds","EN"
"Asthenes luizae",-19.3527,-43.4987,"Birds","EN"
"Asthenes luizae",-19.3526,-43.4962,"Birds","EN"
"Asthenes luizae",-19.345,-43.5082,"Birds","EN"
"Asthenes luizae",-19.3365,-43.5215,"Birds","EN"
"Asthenes luizae",-19.3309,-43.5188,"Birds","EN"
"Asthenes luizae",-19.4352,-43.3912,"Birds","EN"
"Asthenes luizae",-19.3144,-43.5828,"Birds","EN"
"Asthenes luizae",-19.2975,-43.5876,"Birds","EN"
"Asthenes luizae",-19.2894,-43.588,"Birds","EN"
"Asthenes luizae",-19.2852,-43.5379,"Birds","EN"
"Asthenes luizae",-19.2794,-43.5356,"Birds","EN"
"Asthenes luizae",-19.2719,-43.5351,"Birds","EN"
"Asthenes luizae",-19.3021,-43.5018,"Birds","EN"
"Asthenes luizae",-19.3014,-43.4822,"Birds","EN"
"Asthenes luizae",-19.2485,-43.5053,"Birds","EN"
"Asthenes luizae",-19.2011,-43.6486,"Birds","EN"
"Asthenes luizae",-19.0958,-43.5546,"Birds","EN"
"Asthenes luizae",-19.1152,-43.6702,"Birds","EN"
"Asthenes luizae",-19.1114,-43.671,"Birds","EN"
"Asthenes luizae",-19.1026,-43.6735,"Birds","EN"
"Asthenes luizae",-19.0879,-43.6576,"Birds","EN"
"Asthenes luizae",-19.0851,-43.6707,"Birds","EN"
"Asthenes luizae",-19.0827,-43.6617,"Birds","EN"
"Asthenes luizae",-19.0825,-43.6592,"Birds","EN"
"Asthenes luizae",-19.0792,-43.6649,"Birds","EN"
"Asthenes luizae",-19.0403,-43.7198,"Birds","EN"
"Asthenes luizae",-18.8029,-43.8803,"Birds","EN"
"Asthenes luizae",-18.7811,-43.8547,"Birds","EN"
"Asthenes luizae",-18.7789,-43.855,"Birds","EN"
"Asthenes luizae",-18.6154,-43.8992,"Birds","EN"
"Asthenes luizae",-18.1614,-43.7014,"Birds","EN"
"Asthenes luizae",-17.9608,-43.8078,"Birds","EN"
"Asthenes luizae",-17.9267,-43.8133,"Birds","EN"
"Asthenes luizae",-17.9181,-43.8331,"Birds","EN"
"Asthenes luizae",-17.895,-43.7692,"Birds","EN"
"Asthenes luizae",-17.8947,-43.7675,"Birds","EN"
"Asthenes luizae",-17.5545,-43.7366,"Birds","EN"
"Asthenes luizae",-17.5536,-43.7344,"Birds","EN"
"Asthenes luizae",-17.5525,-43.7351,"Birds","EN"
"Asthenes luizae",-18.5086,-43.4417,"Birds","EN"
"Asthenes luizae",-18.4428,-43.3953,"Birds","EN"
"Asthenes luizae",-18.4418,-43.4168,"Birds","EN"
"Asthenes luizae",-18.4045,-43.3731,"Birds","EN"
"Asthenes luizae",-18.3991,-43.3483,"Birds","EN"
"Asthenes luizae",-18.3644,-43.3175,"Birds","EN"
"Asthenes luizae",-18.3617,-43.3186,"Birds","EN"
"Asthenes luizae",-18.3011,-43.2583,"Birds","EN"
"Asthenes luizae",-18.2257,-43.3516,"Birds","EN"
"Asthenes luizae",-18.2077,-43.311,"Birds","EN"
"Asthenes luizae",-18.0758,-43.0747,"Birds","EN"
"Asthenes luizae",-18.0736,-43.0725,"Birds","EN"
"Asthenes luizae",-17.0055,-43.3434,"Birds","EN"
"Asthenes luizae",-16.848,-43.0357,"Birds","EN"
"Asthenes luizae",-16.8414,-43.0539,"Birds","EN"
"Asthenes luizae",-15.7219,-42.8203,"Birds","EN"
"Asthenes luizae",-15.2372,-42.8228,"Birds","EN"
"Asthenes luizae",-15.2331,-42.8183,"Birds","EN"
"Bachia didactyla",-13.5329,-58.7996,"Reptiles","EN"
"Bachia didactyla",-13.0333,-58.2833,"Reptiles","EN"
"Bachia didactyla",-12.7333,-60.1333,"Reptiles","EN"
"Bachia psamophila",-10.0333,-48.3833,"Reptiles","CR"
"Boana buriti",-15.776,-47.7978,"Amphibians","VU"
"Boana buriti",-15.4415,-46.5996,"Amphibians","VU"
"Boana buriti",-16.0686,-46.6112,"Amphibians","VU"
"Boana buriti",-15.4529,-46.6042,"Amphibians","VU"
"Boana buriti",-17.1087,-46.8719,"Amphibians","VU"
"Boana buriti",-16.0946,-47.9852,"Amphibians","VU"
"Bokermannohyla napolii",-19.2,-47.1333,"Amphibians","VU"
"Bokermannohyla napolii",-19.3265,-45.9757,"Amphibians","VU"
"Bokermannohyla napolii",-19.2676,-46.0337,"Amphibians","VU"
"Celeus obrieni",-9.6214,-49.1508,"Birds","VU"
"Celeus obrieni",-4.9467,-47.5047,"Birds","VU"
"Celeus obrieni",-6.7911,-50.4669,"Birds","VU"
"Celeus obrieni",-8.8036,-49.5564,"Birds","VU"
"Celeus obrieni",-15.89,-52.2567,"Birds","VU"
"Celeus obrieni",-9.8356,-48.7253,"Birds","VU"
"Celeus obrieni",-4.7417,-44.35,"Birds","VU"
"Celeus obrieni",-16.9567,-51.8103,"Birds","VU"
"Celeus obrieni",-9.2783,-49.9556,"Birds","VU"
"Celeus obrieni",-4.8589,-43.3561,"Birds","VU"
"Celeus obrieni",-8.9506,-47.3358,"Birds","VU"
"Celeus obrieni",-16.9719,-49.7758,"Birds","VU"
"Celeus obrieni",-11.6169,-47.7506,"Birds","VU"
"Celeus obrieni",-8.0592,-48.475,"Birds","VU"
"Celeus obrieni",-11.6278,-46.8206,"Birds","VU"
"Celeus obrieni",-9.2583,-49.0644,"Birds","VU"
"Celeus obrieni",-11.3439,-49.2706,"Birds","VU"
"Celeus obrieni",-11.7967,-49.5289,"Birds","VU"
"Celeus obrieni",-15.7108,-52.7553,"Birds","VU"
"Celeus obrieni",-8.7758,-48.9317,"Birds","VU"
"Celeus obrieni",-7.71,-47.3142,"Birds","VU"
"Celeus obrieni",-5.8194,-46.1386,"Birds","VU"
"Celeus obrieni",-16.8306,-49.5319,"Birds","VU"
"Celeus obrieni",-11.7292,-49.0686,"Birds","VU"
"Celeus obrieni",-8.3917,-47.7678,"Birds","VU"
"Celeus obrieni",-10.7936,-49.6236,"Birds","VU"
"Celeus obrieni",-9.7958,-49.6542,"Birds","VU"
"Celeus obrieni",-13.5331,-48.22,"Birds","VU"
"Celeus obrieni",-9.5672,-48.3917,"Birds","VU"
"Celeus obrieni",-9.5294,-48.59,"Birds","VU"
"Celeus obrieni",-13.7761,-50.2811,"Birds","VU"
"Celeus obrieni",-14.0986,-50.3267,"Birds","VU"
"Celeus obrieni",-7.6317,-48.4225,"Birds","VU"
"Celeus obrieni",-13.2444,-49.5039,"Birds","VU"
"Celeus obrieni",-10.2128,-48.3603,"Birds","VU"
"Celeus obrieni",-16.805,-49.9258,"Birds","VU"
"Celeus obrieni",-10.1761,-48.8667,"Birds","VU"
"Celeus obrieni",-12.6153,-47.8831,"Birds","VU"
"Celeus obrieni",-6.0675,-49.9022,"Birds","VU"
"Celeus obrieni",-8.9675,-48.1747,"Birds","VU"
"Celeus obrieni",-12.025,-48.5392,"Birds","VU"
"Celeus obrieni",-10.4425,-49.1822,"Birds","VU"
"Celeus obrieni",-13.4408,-49.1486,"Birds","VU"
"Celeus obrieni",-10.7081,-48.4172,"Birds","VU"
"Celeus obrieni",-8.5394,-48.5061,"Birds","VU"
"Celeus obrieni",-12.6,-47.7333,"Birds","VU"
"Celeus obrieni",-10.8608,-48.9136,"Birds","VU"
"Celeus obrieni",-11.4489,-48.1206,"Birds","VU"
"Celeus obrieni",-13.3983,-46.3183,"Birds","VU"
"Celeus obrieni",-6.495,-43.7022,"Birds","VU"
"Celeus obrieni",-13.275,-50.1628,"Birds","VU"
"Celeus obrieni",-5.2581,-44.6489,"Birds","VU"
"Celeus obrieni",-8.9728,-48.1878,"Birds","VU"
"Celeus obrieni",-17.0453,-49.6311,"Birds","VU"
"Cinclodes espinhacensis",-19.88,-43.6694,"Birds","EN"
"Cinclodes espinhacensis",-19.3634,-43.48938,"Birds","EN"
"Cinclodes espinhacensis",-19.34528,-43.50639,"Birds","EN"
"Cinclodes espinhacensis",-19.45219,-43.49548,"Birds","EN"
"Cinclodes espinhacensis",-19.49268,-43.59088,"Birds","EN"
"Cinclodes espinhacensis",-19.2156,-43.3764,"Birds","EN"
"Cinclodes espinhacensis",-19.2603,-43.5322,"Birds","EN"
"Cinclodes espinhacensis",-19.9858,-43.8467,"Birds","EN"
"Cinclodes espinhacensis",-19.08298,-43.6621,"Birds","EN"
"Cinclodes espinhacensis",-18.93496,-43.6739,"Birds","EN"
"Cinclodes espinhacensis",-19.09784,-43.6689,"Birds","EN"
"Cinclodes espinhacensis",-19.07053,-43.65883,"Birds","EN"
"Cinclodes espinhacensis",-19.07787,-43.66553,"Birds","EN"
"Cinclodes espinhacensis",-19.08066,-43.65653,"Birds","EN"
"Cinclodes espinhacensis",-19.08083,-43.66945,"Birds","EN"
"Cinclodes espinhacensis",-19.08334,-43.6547,"Birds","EN"
"Cinclodes espinhacensis",-19.08633,-43.67551,"Birds","EN"
"Cinclodes espinhacensis",-19.08645,-43.65198,"Birds","EN"
"Cinclodes espinhacensis",-19.08891,-43.66667,"Birds","EN"
"Cinclodes espinhacensis",-19.08952,-43.6603,"Birds","EN"
"Cinclodes espinhacensis",-19.09469,-43.66996,"Birds","EN"
"Cinclodes espinhacensis",-19.10676,-43.65064,"Birds","EN"
"Cinclodes espinhacensis",-19.11667,-43.65,"Birds","EN"
"Cinclodes espinhacensis",-19.11956,-43.67315,"Birds","EN"
"Cinclodes espinhacensis",-19.09803,-43.61438,"Birds","EN"
"Cinclodes espinhacensis",-19.09755,-43.61549,"Birds","EN"
"Cinclodes espinhacensis",-19.2213,-43.62701,"Birds","EN"
"Cinclodes espinhacensis",-19.25939,-43.53101,"Birds","EN"
"Cinclodes espinhacensis",-19.30658,-43.46667,"Birds","EN"
"Cinclodes espinhacensis",-19.3954,-43.48777,"Birds","EN"
"Cinclodes espinhacensis",-19.40053,-43.48511,"Birds","EN"
"Cinclodes espinhacensis",-19.41258,-43.52963,"Birds","EN"
"Cinclodes espinhacensis",-19.41739,-43.47414,"Birds","EN"
"Cinclodes espinhacensis",-19.42627,-43.38144,"Birds","EN"
"Cinclodes espinhacensis",-19.42998,-43.38641,"Birds","EN"
"Cinclodes espinhacensis",-19.47391,-43.48082,"Birds","EN"
"Cinclodes espinhacensis",-19.49757,-43.49616,"Birds","EN"
"Cinclodes espinhacensis",-19.49383,-43.5556,"Birds","EN"
"Cinclodes espinhacensis",-19.48383,-43.56041,"Birds","EN"
"Cinclodes espinhacensis",-19.48982,-43.55615,"Birds","EN"
"Cinclodes espinhacensis",-19.49816,-43.583,"Birds","EN"
"Cinclodes espinhacensis",-19.48333,-43.6,"Birds","EN"
"Cinclodes espinhacensis",-19.50698,-43.50199,"Birds","EN"
"Cinclodes espinhacensis",-19.53802,-43.54166,"Birds","EN"
"Cinclodes espinhacensis",-19.53934,-43.54508,"Birds","EN"
"Columbina cyanopis",-16.8722,-43.0108,"Birds","CR"
"Columbina cyanopis",-15.5833,-56.0833,"Birds","CR"
"Columbina cyanopis",-15.65,-57.2167,"Birds","CR"
"Columbina cyanopis",-18.8833,-50.8667,"Birds","CR"
"Columbina cyanopis",-20.6667,-51.5167,"Birds","CR"
"Columbina cyanopis",-20.5,-54.6167,"Birds","CR"
"Conothraupis mesoleuca",-12.8333,-58.9167,"Birds","EN"
"Conothraupis mesoleuca",-12.85,-58.9333,"Birds","EN"
"Conothraupis mesoleuca",-13.8995,-59.1485,"Birds","EN"
"Conothraupis mesoleuca",-18.4085,-52.5494,"Birds","EN"
"Conothraupis mesoleuca",-17.2095,-54.1505,"Birds","EN"
"Conothraupis mesoleuca",-17.5695,-52.5514,"Birds","EN"
"Conothraupis mesoleuca",-18,-52.75,"Birds","EN"
"Conothraupis mesoleuca",-13.1,-58.2833,"Birds","EN"
"Conothraupis mesoleuca",-13.4475,-56.7215,"Birds","EN"
"Conothraupis mesoleuca",-12.9895,-58.7645,"Birds","EN"
"Conothraupis mesoleuca",-17.5775,-54.7585,"Birds","EN"
"Coryphaspiza melanotis",-14.05,-52.1586,"Birds","VU"
"Coryphaspiza melanotis",-21.9756,-44.6031,"Birds","VU"
"Coryphaspiza melanotis",-14.1325,-47.51,"Birds","VU"
"Coryphaspiza melanotis",-21.7397,-44.3092,"Birds","VU"
"Coryphaspiza melanotis",-18.9653,-51.9264,"Birds","VU"
"Coryphaspiza melanotis",-21.9111,-44.2558,"Birds","VU"
"Coryphaspiza melanotis",-21.2258,-43.7736,"Birds","VU"
"Coryphaspiza melanotis",-21.09,-45.5658,"Birds","VU"
"Coryphaspiza melanotis",-21.9472,-44.1911,"Birds","VU"
"Coryphaspiza melanotis",-15.63,-48.06,"Birds","VU"
"Coryphaspiza melanotis",-20.4428,-54.6464,"Birds","VU"
"Coryphaspiza melanotis",-21.4608,-45.2236,"Birds","VU"
"Coryphaspiza melanotis",-21.4875,-44.6425,"Birds","VU"
"Coryphaspiza melanotis",-22.0011,-44.4614,"Birds","VU"
"Coryphaspiza melanotis",-13.7975,-47.4583,"Birds","VU"
"Coryphaspiza melanotis",-15.4606,-55.7497,"Birds","VU"
"Coryphaspiza melanotis",-18.4075,-52.5489,"Birds","VU"
"Coryphaspiza melanotis",-15.7944,-48.7758,"Birds","VU"
"Coryphaspiza melanotis",-21.8386,-44.8083,"Birds","VU"
"Coryphaspiza melanotis",-1.8136,-49.7953,"Birds","VU"
"Coryphaspiza melanotis",-20.3439,-46.8539,"Birds","VU"
"Coryphaspiza melanotis",-18.2494,-43.6003,"Birds","VU"
"Coryphaspiza melanotis",-19.5222,-45.7875,"Birds","VU"
"Coryphaspiza melanotis",-18.45,-43.7333,"Birds","VU"
"Coryphaspiza melanotis",-18.8439,-46.7931,"Birds","VU"
"Coryphaspiza melanotis",-16.3494,-53.7583,"Birds","VU"
"Coryphaspiza melanotis",-21.43,-43.9631,"Birds","VU"
"Coryphaspiza melanotis",-19.4783,-46.5389,"Birds","VU"
"Coryphaspiza melanotis",-20.4622,-47.1222,"Birds","VU"
"Coryphaspiza melanotis",-19.0386,-47.9169,"Birds","VU"
"Coryphaspiza melanotis",-20.2533,-43.8014,"Birds","VU"
"Coryphaspiza melanotis",-21.3169,-44.8711,"Birds","VU"
"Coryphaspiza melanotis",-21.2981,-44.6578,"Birds","VU"
"Coryphaspiza melanotis",-24.2511,-49.7058,"Birds","VU"
"Coryphaspiza melanotis",-21.4803,-56.1381,"Birds","VU"
"Coryphaspiza melanotis",-18.7786,-46.4075,"Birds","VU"
"Coryphaspiza melanotis",-21.2453,-44.9997,"Birds","VU"
"Coryphaspiza melanotis",-21.8425,-43.7931,"Birds","VU"
"Coryphaspiza melanotis",-21.5111,-44.9033,"Birds","VU"
"Coryphaspiza melanotis",-21.4825,-44.3303,"Birds","VU"
"Coryphaspiza melanotis",-10.5475,-46.4211,"Birds","VU"
"Coryphaspiza melanotis",-21.6819,-44.6039,"Birds","VU"
"Coryphaspiza melanotis",-17.5694,-52.5511,"Birds","VU"
"Coryphaspiza melanotis",-20.3331,-44.0528,"Birds","VU"
"Coryphaspiza melanotis",-1.5283,-49.2167,"Birds","VU"
"Coryphaspiza melanotis",-13.0053,-41.3708,"Birds","VU"
"Coryphaspiza melanotis",-21.2164,-44.6114,"Birds","VU"
"Coryphaspiza melanotis",-19.9856,-43.8467,"Birds","VU"
"Coryphaspiza melanotis",-20.5208,-43.6919,"Birds","VU"
"Coryphaspiza melanotis",-20.2875,-43.5081,"Birds","VU"
"Coryphaspiza melanotis",-18.9439,-46.9925,"Birds","VU"
"Coryphaspiza melanotis",-21.4686,-44.1961,"Birds","VU"
"Coryphaspiza melanotis",-15.8525,-48.9592,"Birds","VU"
"Coryphaspiza melanotis",-19.2244,-44.9353,"Birds","VU"
"Coryphaspiza melanotis",-21.0575,-44.0797,"Birds","VU"
"Coryphaspiza melanotis",-20.9222,-44.2375,"Birds","VU"
"Coryphaspiza melanotis",-20.0875,-43.7894,"Birds","VU"
"Coryphaspiza melanotis",-5.2728,-35.3831,"Birds","VU"
"Coryphaspiza melanotis",-18.8825,-47.5856,"Birds","VU"
"Coryphaspiza melanotis",-19.8653,-47.44,"Birds","VU"
"Coryphaspiza melanotis",-0.7533,-48.5167,"Birds","VU"
"Coryphaspiza melanotis",-21.6014,-44.1044,"Birds","VU"
"Coryphaspiza melanotis",-19.1689,-43.7144,"Birds","VU"
"Coryphaspiza melanotis",-18.3383,-45.8333,"Birds","VU"
"Coryphaspiza melanotis",-18.0042,-43.3908,"Birds","VU"
"Coryphaspiza melanotis",-19.3111,-46.0489,"Birds","VU"
"Coryphaspiza melanotis",-20.6414,-46.5056,"Birds","VU"
"Coryphaspiza melanotis",-21.1356,-44.2617,"Birds","VU"
"Coryphaspiza melanotis",-20.7181,-46.3114,"Birds","VU"
"Coryphaspiza melanotis",-20.2453,-46.3658,"Birds","VU"
"Coryphaspiza melanotis",-21.7222,-44.9853,"Birds","VU"
"Coryphaspiza melanotis",-21.7125,-44.4442,"Birds","VU"
"Coryphaspiza melanotis",-19.1114,-46.6897,"Birds","VU"
"Coryphaspiza melanotis",-19.9222,-46.8231,"Birds","VU"
"Coryphaspiza melanotis",-20.4422,-54.8603,"Birds","VU"
"Coryphaspiza melanotis",-18.2064,-45.2417,"Birds","VU"
"Coryphaspiza melanotis",-19.7483,-47.9319,"Birds","VU"
"Coryphaspiza melanotis",-20.3267,-46.3661,"Birds","VU"
"Crossodactylus franciscanus*",-20.7167,-46.6167,"Amphibians","CR"
"Crossodactylus franciscanus*",-20.2167,-46.3667,"Amphibians","CR"
"Ctenomys bicolor",-12.5833,-54.8167,"Mammals","EN"
"Ctenomys bicolor",-13.8667,-55.2667,"Mammals","EN"
"Ctenomys bicolor",-14.8667,-57.2833,"Mammals","EN"
"Ctenomys bicolor",-12.95,-54.9167,"Mammals","EN"
"Ctenomys bicolor",-12.9,-54.8333,"Mammals","EN"
"Ctenomys bicolor",-14.2167,-57.6833,"Mammals","EN"
"Ctenomys bicolor",-11.9167,-61.0833,"Mammals","EN"
"Ctenomys bicolor",-12.2167,-60.6833,"Mammals","EN"
"Euryoryzomys lamia",-13.5167,-48.2167,"Mammals","EN"
"Euryoryzomys lamia",-14.0667,-47.75,"Mammals","EN"
"Euryoryzomys lamia",-16.3167,-48.95,"Mammals","EN"
"Euryoryzomys lamia",-17.8,-48.5,"Mammals","EN"
"Euryoryzomys lamia",-15.05,-48.1667,"Mammals","EN"
"Euryoryzomys lamia",-16.15,-49.25,"Mammals","EN"
"Euryoryzomys lamia",-18.6333,-48.1833,"Mammals","EN"
"Geositta poeciloptera",-23.35,-55.9167,"Birds","VU"
"Geositta poeciloptera",-15.9333,-47.8833,"Birds","VU"
"Geositta poeciloptera",-15.9167,-47.8667,"Birds","VU"
"Geositta poeciloptera",-15.85,-47.9333,"Birds","VU"
"Geositta poeciloptera",-15.8333,-47.9,"Birds","VU"
"Geositta poeciloptera",-15.7833,-47.9167,"Birds","VU"
"Geositta poeciloptera",-15.7667,-47.9167,"Birds","VU"
